"","Country","Actual_values","Fitted_Values"
"1","Algeria",4.401,16.9948620471984
"2","Argentina",6.04,14.9382552729915
"3","Australia",1.765,1.83419481758835
"4","Austria",37.418,53.7360754722598
"5","Belgium",288.707,115.824517400965
"6","Brazil",49.995,16.408077884632
"7","Bulgaria",12.665,118.216859469683
"8","BurkinaFaso",0.67,3.67148138565798
"9","Chile",14.124,15.5619699990616
"10","Colombia",8.411,13.645937908705
"11","Croatia",18.269,43.5797006752673
"12","CzechRepublic",10.459,55.1732944008544
"13","DominicanRepublic",15.948,29.3012059810033
"14","Ecuador",77.708,20.2226619522939
"15","Egypt",3.967,5.60664559495979
"16","Estonia",14.323,47.6056256631177
"17","France",158.227,106.641297505949
"18","Germany",51.251,97.1161659660282
"19","Greece",7.579,96.6626213993661
"20","Honduras",10.601,12.0417794730508
"21","Hungary",22.049,65.678101881721
"22","Indonesia",1.678,5.89571342740741
"23","Iraq",0.994,35.6896451388905
"24","Italy",205.584,68.0854269813901
"25","Japan",2.775,24.1230682285034
"26","Malaysia",1.545,9.53048633294736
"27","Mexico",26.006,30.185101442247
"28","Netherlands",96.353,105.575413533029
"29","Panama",56.55,53.1474658106204
"30","Peru",55.017,8.51545024689727
"31","Philippines",3.185,4.47627911045318
"32","Poland",13.845,60.4311760400739
"33","Portugal",88.558,41.045885665358
"34","Romania",37.271,37.5439045027852
"35","SaudiArabia",6.865,18.7145708427683
"36","Serbia",8.524,24.0217985038256
"37","SouthKorea",2.711,9.24079095914952
"38","Spain",233.88,149.937951503553
"39","Switzerland",128.255,77.0402989372363
"40","Thailand",0.372,9.68091057312353
"41","UnitedKingdom",170.86,177.379209914505
"42","UnitedStates",117.552,151.783243722856
