"","Country","Obesity_rate","gdp_estimate_ppp","Median_Age","population_size","peak_deaths_already_occurred_indicator","age_adjusted_risk","Density_km","Inequality_spatial_transformed","gov_response_at_0.1_deaths_per_million","average_gov_response","total_deaths_per_million","smooth_new_deaths_per_million","total_deaths","combined_density_measure"
"1","Algeria",27.4,16090.69,28.9,43851043,1,25.5894019177004,17.11978377,18.0460720188778,37.7,76.8532075471698,4.401,0.593,515,308.944850861035
"2","Argentina",28.3,19970.52,32.4,45195777,1,47.0825774463313,16.36740951,12.9987099690265,100,96.4871739130435,6.04,0.2126,319,212.755209164777
"3","Australia",29,54799.038,37.5,25499881,1,70.1851292496096,3.328843975,59.5918257892565,19.44,59.0077777777778,1.765,0.1726,97,198.371890237816
"4","Austria",20.1,55171.987,44.5,9006400,1,88.3061953126113,103.7146944,2.95052773434109,57.27,76.2301724137931,37.418,2.5984,623,306.013082285911
"5","Belgium",22.1,50904.687,41.6,11589616,1,89.5925921231633,381.145442,2.46781742737229,21.03,79.0694736842105,288.707,29.5782,8761,940.597364131116
"6","Bulgaria",25,26034.326,43.7,6948445,1,82.5122779744335,62.00822138,2.62718692688246,29.49,71.5766101694915,12.665,0.432,95,162.907188568769
"7","BurkinaFaso",5.6,2181.43,17.9,20903278,1,8.27313996045131,66.48118321,2.19668078984505,77.64,88.5136170212766,0.67,0.1054,51,146.037938043576
"8","Chile",28,27150.376,35.5,19116209,1,50.4584581918967,25.30452349,19.8291079883703,62.04,76.6834146341463,14.124,0.5648,335,501.766128877463
"9","Colombia",22.3,16264.966,31.2,50882884,1,35.4093029445809,44.26064406,8.16331935062852,84.26,84.6118181818182,8.411,0.346,493,361.313772126279
"10","Croatia",24.4,29207.129,43.9,4105268,1,89.6681948667897,74.47797498,3.25208408833176,97.35,95.7080434782609,18.269,0.9742,91,242.208637363629
"11","CzechRepublic",26,40584.786,43.3,10708982,1,76.2329049411206,134.2416348,2.29093563960419,83.07,70.5676086956522,10.459,0.9898,283,307.53894548205
"12","DominicanRepublic",27.6,20625.367,27.9,10847904,1,31.1853199285149,229.8865899,3.831484947088,83.6,93.9114,15.948,1.3828,402,880.807008739241
"13","Ecuador",19.9,11866.24,28.8,17643060,1,30.5058654644125,67.84618771,5.43514995393928,52.78,93.7628301886792,77.708,8.0258,2327,368.754204006962
"14","Egypt",32,14800.337,24.1,102334403,1,19.028890776001,91.65217686,26.6030541529908,88.75,88.75,3.967,0.1934,544,2438.22782424607
"15","Estonia",21.2,37605.623,43.7,1326539,1,90.3358584674955,28.24026761,4.86668897881341,63.89,74.9371111111111,14.323,2.1108,61,137.436599136328
"16","France",21.6,48640.048,41.7,65273512,1,97.6234815123254,120.0155366,2.78262447579459,29.76,81.1352307692308,158.227,17.8482,26991,333.958169618782
"17","Germany",22.3,55306.205,47.8,83783945,1,104.255344536857,225.0639291,2.36672681442526,49.08,74.6161818181818,51.251,3.163,7634,532.664835960875
"18","Greece",24.9,31616.272,45.3,10423056,1,108.618079189465,83.56240854,4.63666619990894,57.27,83.8142857142857,7.579,0.5566,152,387.4509952604
"19","Honduras",21.4,5599.646,24.4,9904608,1,20.5105138054334,77.09085746,3.08628835721729,100,98.8605128205128,10.601,0.5858,121,237.924615826695
"20","Hungary",26.4,35941.192,43.6,9660350,1,77.3534211402791,104.5361153,2.24423027640212,74.99,75.6876363636364,22.049,1.4698,430,234.603114933723
"21","Indonesia",6.9,14840.757,31.1,273523621,1,22.1144451857384,143.8050193,6.46671552097797,43.92,64.24,1.678,0.1308,1007,929.946150301847
"22","Iraq",30.4,18754.874,21.2,40222503,1,12.0274290765364,96.30044373,6.76042255020608,52.78,90.0229310344828,0.994,0.0994,112,651.031691387143
"23","Italy",19.9,41582.185,46.5,60461828,1,112.256817737498,198.447533,2.74423006077084,64.44,86.1598648648649,205.584,14.1082,30911,544.585685544413
"24","Japan",4.3,46827.354,48.6,126476458,1,134.029994679097,336.844545,5.18564871303815,48.4,50.1070175438596,2.775,0.261,668,1746.75748127317
"25","Malaysia",15.6,34567.067,29.2,32365998,1,25.3986511330027,98.55271414,5.77304152063253,71.03,70.8044680851064,1.545,0.142,109,568.948910701249
"26","Netherlands",20.4,60299.138,42.8,17134873,1,82.7464729262907,486.0466876,2.17210293566272,11.91,76.8445161290323,96.353,9.1858,5510,1055.7434370051
