"","Country","Obesity_rate","gdp_estimate_ppp","Median_Age","population_size","peak_deaths_already_occurred_indicator","risk_adjusted_age","Density_km","Inequality_spatial_transformed","gov_response_at_0.1_deaths_per_million","total_deaths_per_million","smooth_new_deaths_per_million","total_deaths","combined_density_measure"
"1","Algeria",27.4,16090.69,28.9,43.8510953469157,1,25.5894019177004,17.11978377,18.0460720188778,37.7,4.401,0.593,507,308.944850861035
"2","Argentina",28.3,19970.52,32.4,45.1959165290497,1,47.0825774463313,16.36740951,12.9987099690265,100,6.04,0.2126,305,212.755209164777
"3","Australia",29,54799.038,37.5,25.4998678763322,1,70.1851292496096,3.328843975,59.5918257892565,19.44,1.765,0.1726,97,198.371890237816
"4","Austria",20.1,55171.987,44.5,9.00640218232489,1,88.3061953126113,103.7146944,2.95052773434109,57.27,37.418,2.5984,620,306.013082285911
"5","Belgium",22.1,50904.687,41.6,11.5896154235623,1,89.5925921231633,381.145442,2.46781742737229,21.03,288.707,29.5782,8707,940.597364131116
"6","Bulgaria",25,26034.326,43.7,6.94844532900365,1,82.5122779744335,62.00822138,2.62718692688246,29.49,12.665,0.432,93,162.907188568769
"7","BurkinaFaso",5.6,2181.43,17.9,20.9032400022003,1,8.27313996045131,66.48118321,2.19668078984505,77.64,0.67,0.1054,50,146.037938043576
"8","Chile",28,27150.376,35.5,19.1162144770209,1,50.4584581918967,25.30452349,19.8291079883703,62.04,14.124,0.5648,323,501.766128877463
"9","Croatia",24.4,29207.129,43.9,4.10527142274948,1,89.6681948667897,74.47797498,3.25208408833176,97.35,18.269,0.9742,91,242.208637363629
"10","CzechRepublic",26,40584.786,43.3,10.7089856720164,1,76.2329049411206,134.2416348,2.29093563960419,83.07,10.459,0.9898,282,307.53894548205
"11","DominicanRepublic",27.6,20625.367,27.9,10.847898869917,1,31.1853199285149,229.8865899,3.831484947088,83.6,15.948,1.3828,393,880.807008739241
"12","Ecuador",19.9,11866.24,28.8,17.6430645506721,1,30.5058654644125,67.84618771,5.43514995393928,52.78,77.708,8.0258,2145,368.754204006962
"13","Egypt",32,14800.337,24.1,102.334176843034,1,19.028890776001,91.65217686,26.6030541529908,88.75,3.967,0.1934,533,2438.22782424607
"14","France",21.6,48640.048,41.7,65.2735125747853,1,97.6234815123254,120.0155366,2.78262447579459,29.76,158.227,17.8482,26643,333.958169618782
"15","Germany",22.3,55306.205,47.8,83.7839272131186,1,104.255344536857,225.0639291,2.36672681442526,49.08,51.251,3.163,7533,532.664835960875
"16","Greece",24.9,31616.272,45.3,10.4230392756638,1,108.618079189465,83.56240854,4.63666619990894,57.27,7.579,0.5566,151,387.4509952604
"17","Honduras",21.4,5599.646,24.4,9.90458582323616,1,20.5105138054334,77.09085746,3.08628835721729,100,10.601,0.5858,116,237.924615826695
"18","Hungary",26.4,35941.192,43.6,9.66035667214855,1,77.3534211402791,104.5361153,2.24423027640212,74.99,22.049,1.4698,425,234.603114933723
"19","Indonesia",6.9,14840.757,31.1,273.52213678983,1,22.1144451857384,143.8050193,6.46671552097797,43.92,1.678,0.1308,991,929.946150301847
"20","Iraq",30.4,18754.874,21.2,40.2226662860405,1,12.0274290765364,96.30044373,6.76042255020608,52.78,0.994,0.0994,110,651.031691387143
"21","Italy",19.9,41582.185,46.5,60.4618296432787,1,112.256817737498,198.447533,2.74423006077084,64.44,205.584,14.1082,30739,544.585685544413
"22","Japan",4.3,46827.354,48.6,126.47597800972,1,134.029994679097,336.844545,5.18564871303815,48.4,2.775,0.261,643,1746.75748127317
"23","Malaysia",15.6,34567.067,29.2,32.3659479045864,1,25.3986511330027,98.55271414,5.77304152063253,71.03,1.545,0.142,109,568.948910701249
"24","Netherlands",20.4,60299.138,42.8,17.1348708317148,1,82.7464729262907,486.0466876,2.17210293566272,11.91,96.353,9.1858,5456,1055.7434370051
"25","Philippines",6.4,10094.385,24.1,109.581187541392,1,19.578438722206,366.9284701,3.30801208864059,74.09,3.185,0.2666,726,1213.8038147572
"26","Poland",23.1,35651.177,41.9,37.8465967967397,1,76.8079431663097,123.2659755,2.24884935317774,60.05,13.845,0.7612,811,277.206609271998
"27","Portugal",20.8,34935.821,44.6,10.1967062859366,1,101.903289420795,110.2062065,4.1573294951648,86.64,88.558,3.2952,1144,458.163512832672
"28","Romania",22.5,29554.754,42.5,19.2376756326478,1,78.072208889242,79.39900296,3.93802281412394,80.95,37.271,1.4764,972,312.675085075174
"29","Serbia",21.5,19767.465,43.4,6.8045952415979,1,69.7871191044105,75.44640741,3.40896687693015,100,8.524,1.029,218,257.194303844068
"30","SouthKorea",6.8,46451.608,43.2,51.2690688494463,1,62.1795081882723,527.0852699,4.71668542704712,61.24,2.711,0.1368,258,2486.09541134853
"31","Spain",23.8,43007.499,43.9,46.7547877526779,1,96.810907926372,91.26393918,4.28190274998139,11.11,233.88,18.8516,26744,390.783312148976
"32","Switzerland",19.5,67557.7,42.7,8.65461752630834,1,86.5420632892838,208.6737003,2.95457743448871,27.38,128.255,5.8234,1542,616.54260607764
"33","Thailand",10,21360.919,39,69.7997453408959,1,50.5702669170003,133.9291917,2.77720928303754,76.59,0.372,0.0458,56,371.949394458954
"34","UnitedKingdom",27.8,48168.869,40.6,67.886013825544,1,83.8474059412139,271.4830453,4.32189238379917,11.11,170.86,15.2196,32065,1173.32050581268
"35","UnitedStates",36.2,67426.835,38.5,331.002664148139,1,70.031881407156,35.05475804,10.1124640498111,28.18,117.552,9.2212,80684,354.489980454326
